UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200210-22:53:05.819920,-108.162369,39.01838,3099,237,170.9,86.6,-108.054408,39.024751,4912.6,0.81,1.56,44.9
20200210-22:53:05.919920,-108.162461,39.01838,3098,236.8,171.2,86.6,-108.054412,39.024751,4912.6,0.8,1.56,44.9
20200210-22:53:06.019940,-108.162461,39.01838,3098,237.4,170,87.1,-108.054416,39.024752,4912.6,0.79,1.56,44.9
20200210-22:53:06.119940,-108.162554,39.01838,3098,237.4,170.9,87.1,-108.05442,39.024752,4912.6,0.79,1.56,44.9
20200210-22:53:06.219940,-108.162646,39.01838,3098,236.5,170.8,87.3,-108.054423,39.024752,4912.6,0.79,1.56,44.9
20200210-22:53:06.319920,-108.162739,39.01838,3098,238.6,170.2,87.6,-108.054427,39.024752,4912.6,0.79,1.56,44.9
20200210-22:53:06.419940,-108.162832,39.01838,3098,238.9,170.7,87.8,-108.054431,39.024752,4912.6,0.79,1.56,44.9
20200210-22:53:06.519940,-108.162924,39.01838,3098,240.5,172,88.3,-108.054435,39.024753,4912.6,0.79,1.56,44.9
20200210-22:53:06.619940,-108.163017,39.01838,3098,240.8,171.7,88.4,-108.054438,39.024753,4912.6,0.79,1.56,44.9
20200210-22:53:06.719940,-108.163017,39.01838,3098,239.4,172,88.7,-108.054442,39.024753,4912.6,0.79,1.57,44.9
20200210-22:53:06.819940,-108.163109,39.01838,3098,238.1,170.6,89.1,-108.054446,39.024753,4912.6,0.79,1.56,44.9
20200210-22:53:06.919940,-108.163202,39.01838,3098,238.5,172.4,89.3,-108.05445,39.024753,4912.6,0.79,1.57,44.9
20200210-22:53:07.019940,-108.163295,39.01838,3098,238.1,171.2,89.5,-108.054453,39.024754,4912.6,0.81,1.57,44.9
20200210-22:53:07.119960,-108.163387,39.01838,3098,238.7,172,89.6,-108.054457,39.024754,4912.6,0.81,1.57,44.9
20200210-22:53:07.219960,-108.163387,39.018473,3098,236,170.5,90.4,-108.054461,39.024754,4912.6,0.81,1.57,44.8
20200210-22:53:07.319960,-108.16348,39.018473,3098,237.3,171.4,90.7,-108.054465,39.024754,4912.6,0.81,1.57,44.8
20200210-22:53:07.419960,-108.163572,39.018473,3098,238.3,170.3,90.7,-108.054469,39.024755,4912.6,0.81,1.57,44.8
20200210-22:53:07.519960,-108.163665,39.018473,3098,236.6,171.7,91,-108.054472,39.024755,4912.6,0.79,1.57,44.8
20200210-22:53:07.619960,-108.163758,39.018473,3098,238,171,91.1,-108.054476,39.024755,4912.6,0.78,1.57,44.8
20200210-22:53:07.719960,-108.16385,39.018473,3098,237.9,171,91.2,-108.05448,39.024755,4912.6,0.79,1.57,44.8
20200210-22:53:07.819960,-108.16385,39.018473,3098,237.4,169.3,91.3,-108.054484,39.024755,4912.6,0.78,1.57,44.8
20200210-22:53:07.919980,-108.163943,39.018473,3098,235.2,170.4,91.4,-108.054487,39.024756,4912.6,0.79,1.57,44.8
20200210-22:53:08.019980,-108.164035,39.018473,3098,236.5,170.1,91.2,-108.054491,39.024756,4912.6,0.79,1.57,44.8
20200210-22:53:08.119980,-108.164128,39.018473,3098,236.2,170.2,91.1,-108.054495,39.024756,4912.6,0.79,1.57,44.8
20200210-22:53:08.219980,-108.164221,39.018473,3098,237.3,169.7,90.8,-108.054499,39.024756,4912.5,0.79,1.57,44.8
20200210-22:53:08.319980,-108.164313,39.018473,3097,237.7,169.1,90.5,-108.054502,39.024756,4912.5,0.78,1.57,44.8
20200210-22:53:08.419980,-108.164406,39.018473,3097,235,169.5,90.2,-108.054506,39.024757,4912.5,0.79,1.57,44.8
20200210-22:53:08.519980,-108.164406,39.018473,3097,235.5,170.1,90,-108.05451,39.024757,4912.5,0.79,1.57,44.8
20200210-22:53:08.619980,-108.164498,39.018473,3097,236,170,89.9,-108.054514,39.024757,4912.5,0.81,1.57,44.8
20200210-22:53:08.719980,-108.164591,39.018473,3097,235.5,169,89.7,-108.054517,39.024757,4912.5,0.8,1.57,44.8
20200210-22:53:08.820000,-108.164684,39.018473,3097,236.1,169.5,89.6,-108.054521,39.024757,4912.5,0.8,1.57,44.8
20200210-22:53:08.920000,-108.164776,39.018473,3097,237.5,169,89.3,-108.054525,39.024758,4912.5,0.8,1.57,44.8
20200210-22:53:09.020000,-108.164869,39.018566,3097,236.5,170,89,-108.054529,39.024758,4912.5,0.78,1.58,44.8
20200210-22:53:09.120000,-108.164869,39.018566,3097,238.4,169.2,89.1,-108.054532,39.024758,4912.5,0.78,1.58,44.8
20200210-22:53:09.220000,-108.164961,39.018566,3097,236.6,170.7,89.1,-108.054536,39.024758,4912.5,0.76,1.57,44.8
20200210-22:53:09.320000,-108.165054,39.018566,3097,237.4,170.4,89.3,-108.05454,39.024758,4912.5,0.78,1.57,44.8
20200210-22:53:09.420020,-108.165147,39.018566,3097,237.8,170.3,89.3,-108.054544,39.024759,4912.5,0.78,1.58,44.8
20200210-22:53:09.520020,-108.165239,39.018566,3097,238.1,170.1,89.6,-108.054547,39.024759,4912.5,0.78,1.57,44.8
20200210-22:53:09.620020,-108.165332,39.018566,3098,238.5,170.7,90,-108.054551,39.024759,4912.5,0.79,1.57,44.8
20200210-22:53:09.720000,-108.165424,39.018566,3098,237.3,170.5,90.6,-108.054555,39.024759,4912.5,0.77,1.58,44.7
20200210-22:53:09.820020,-108.165424,39.018566,3098,237.9,170.6,91.7,-108.054559,39.024759,4912.5,0.78,1.58,44.7
20200210-22:53:09.920020,-108.165517,39.018566,3098,237.7,171.1,92.2,-108.054562,39.02476,4912.5,0.78,1.57,44.7
20200210-22:53:10.020020,-108.16561,39.018566,3098,237.8,170.6,92.8,-108.054566,39.02476,4912.5,0.78,1.58,44.7
20200210-22:53:10.120020,-108.165702,39.018566,3098,238.2,171.6,93.5,-108.05457,39.02476,4912.5,0.79,1.58,44.7
20200210-22:53:10.220020,-108.165795,39.018566,3098,237.9,172.4,94.1,-108.054574,39.02476,4912.5,0.78,1.57,44.7
20200210-22:53:10.320020,-108.165887,39.018566,3097,237.8,172,94.8,-108.054577,39.024761,4912.5,0.78,1.57,44.7
20200210-22:53:10.420020,-108.16598,39.018658,3098,237.7,172.4,95.4,-108.054581,39.024761,4912.5,0.76,1.57,44.7
20200210-22:53:10.520040,-108.16598,39.018658,3098,237.2,171.7,95.9,-108.054585,39.024761,4912.5,0.75,1.58,44.7
20200210-22:53:10.620040,-108.166073,39.018658,3097,238.7,172.9,96.3,-108.054589,39.024761,4912.5,0.76,1.57,44.7
20200210-22:53:10.720040,-108.166165,39.018658,3097,240.3,172.4,97.1,-108.054592,39.024761,4912.5,0.75,1.57,44.7
20200210-22:53:10.820040,-108.166258,39.018658,3097,242.3,172.1,97.4,-108.054596,39.024762,4912.5,0.75,1.57,44.7
20200210-22:53:10.920040,-108.16635,39.018658,3097,240.6,172.9,97.2,-108.0546,39.024762,4912.5,0.75,1.57,44.7
20200210-22:53:11.020040,-108.166443,39.018658,3096,239.7,173.9,97.6,-108.054604,39.024762,4912.4,0.74,1.57,44.7
20200210-22:53:11.120040,-108.166535,39.018658,3096,238.7,173.8,97.7,-108.054607,39.024762,4912.4,0.74,1.57,44.7
20200210-22:53:11.220060,-108.166535,39.018658,3096,239,173.7,97.8,-108.054611,39.024762,4912.4,0.73,1.57,44.7
20200210-22:53:11.320060,-108.166628,39.018658,3096,240.7,173.9,97.9,-108.054615,39.024763,4912.4,0.74,1.57,44.7
20200210-22:53:11.420060,-108.166721,39.018658,3096,238.9,174.1,97.9,-108.054619,39.024763,4912.4,0.75,1.57,44.7
20200210-22:53:11.520060,-108.166813,39.018658,3096,240.7,174.6,97.8,-108.054622,39.024763,4912.4,0.76,1.57,44.7
20200210-22:53:11.620060,-108.166906,39.018658,3096,239.7,174.5,98.1,-108.054626,39.024763,4912.4,0.77,1.57,44.7
20200210-22:53:11.720060,-108.166998,39.018658,3096,240.1,173.6,97.9,-108.05463,39.024763,4912.4,0.76,1.57,44.7
